,0
0,
1,0.5160703177928258
2,0.1388535888834084
3,0.6786428892636048
4,0.37617489594738474
5,5.301421312890625e-09
6,
7,
8,8.848711814068366e-05
9,9.763453629243106e-05
10,
11,
12,
13,0.005598833283589181
14,5.672082959849198e-07
15,
16,
17,0.008033239461426365
18,
19,5.258220605909693e-08
20,1.476598943367189e-07
21,3.9983610891033255e-05
22,1.185563226413203e-05
23,0.00013105428372760895
24,
25,6.729011339153965e-07
26,
27,
28,
29,
30,0.34759330786606735
31,0.005687821997777335
32,0.21847845152426826
33,
34,
35,
36,
37,
