,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,1600,1700,1800,1900,2000
ATI,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATII,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B,0.18,0.0135,0.0025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B_Plasma,0.34,0.098,0.1175,0.005,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Basal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ciliated,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Club,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendritic_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendritic_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendritic_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendritic_Langerhans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dendritic_Plasmacytoid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fibroblast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goblet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Innate_lymphoid_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Innate_lymphoid_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ionocyte,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lymphatic-Endothelial,0.7265,0.837,0.7075,0.5905,0.8035,0.674,0.59,0.522,0.4315,0.59,0.6355,0.42,0.443,0.488,0.363,0.2765,0.2915,0.302,0.213,0.1815
Macrophage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macrophage_Alveolar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mast,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesothelial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monocyte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monocyte_Non-Classical,0.0115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Myofibroblast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mystery_Disease_Epithelial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuroendocrine,0.997,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NK,0.0055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pericytes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smooth-Muscle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T_Cytotoxic,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T_Regulatory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vascular-Endothelial_A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vascular-Endothelial_B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vascular-Endothelial_C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vascular-Endothelial_D,0.0095,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vascular-Endothelial_E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
